goos: linux
goarch: amd64
pkg: github.com/asserchiu/go-utils/strconcator
Benchmark_10_PlusEqual-4                       	 2000000	       835 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       841 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       839 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       877 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       833 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       860 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       833 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       821 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       857 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       842 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       850 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       794 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       826 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       830 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       828 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       795 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       829 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       851 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       834 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_PlusEqual-4                       	 2000000	       843 ns/op	     208 B/op	       9 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       313 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       311 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       307 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       320 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       304 ns/op	      88 B/op	       4 allocs/op
Benchmark_10_StringConcator_WriteString-4      	 5000000	       309 ns/op	      88 B/op	       4 allocs/op
