goos: linux
goarch: amd64
pkg: github.com/asserchiu/go-utils/strconcator
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1596 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1639 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1601 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1568 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1662 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1607 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteString-4     	 1000000	      1663 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  300000	      5345 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  300000	      5186 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  300000	      5472 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  200000	      5321 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  200000	      5458 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  200000	      5689 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  200000	      5343 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  300000	      5423 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  200000	      5412 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_StringConcator_WriteStrings-4    	  300000	      5235 ns/op	    1048 B/op	       8 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3107 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      2919 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3186 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      2999 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3143 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3051 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3036 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3206 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3140 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_BytesBuffer-4                    	  500000	      3199 ns/op	    1440 B/op	       5 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1566 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1564 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1550 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1546 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1503 ns/op	    1016 B/op	       7 allocs/op
